respondent_id;question;charachteristic;response
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Not at all valuable (-2)
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Not at all valuable (-2)
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Not at all valuable (-2)
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Not at all valuable (-2)
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Not at all valuable (-2)
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Not at all valuable (-2)
114762892402;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Not at all valuable (-2)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Neutral (0)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Valuable (1)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Neutral (0)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Not valuable (-1)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Neutral (0)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Neutral (0)
114761515324;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Neutral (0)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Valuable (1)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Very valuable (2)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Very valuable (2)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Very valuable (2)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Very valuable (2)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Very valuable (2)
114761370340;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Very valuable (2)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Neutral (0)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Neutral (0)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Neutral (0)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Neutral (0)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Neutral (0)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Neutral (0)
114761367399;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Neutral (0)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Fundamental research;Valuable (1)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Monitoring;Very valuable (2)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Adaptive management;Very valuable (2)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Policy making;Very valuable (2)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;Outreach and communication;Very valuable (2)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;National level species status reporting (e.g. to EU or CBD);Very valuable (2)
114761357836;How valuable do you think data from structured citizen science (e.g. targeted camera trapping, hunter-owned camera traps) are for the following purposes?;IUCN Red List Assessments;Very valuable (2)
